day,venue,neighborhood,time,title,desc,category
Monday,Paula’s,Valley Junction / West Des Moines,Monday special,Tomato soup and grilled cheese for $12.50,Homemade tomato soup with grilled cheese sandwich for $12.50.,Food special
Monday,Destination Grille,Grimes,Monday steak night,Sirloin and truffle fries for $18,Monday steak night with sirloin and truffle fries for $18.,Dinner special
Monday,30Hop,Prairie Trail / Ankeny,Monday only,$5.99 classic burger,Monday burger special on top of the regular happy hour program.,Food special
Monday,Striking Sparrow,Des Moines,After 6 PM,BOGO drinks,Monday night BOGO drinks from 6 PM to close.,Drink special
Tuesday,Caffrey’s Sports Pub,Waukee,3 PM to 6 PM,$3 domestics and wells,Straightforward weekday happy hour with $3 domestic beers and well drinks.,Drink special
Tuesday,Hessen Haus,Downtown / Des Moines,3 PM to 6 PM,Half off select apps plus draft beer specials,"Half off select appetizers, $5 half liter drafts, $10 liter drafts, and $20 boots.",Food and drink special
Tuesday,The Stuffed Olive,Court District / Des Moines,4 PM to 12 AM,BOGO shared plates,"Buy one shared plate and get one free, including calamari, smoked elote dip, sliders, and skewers.",Food special
Tuesday,Shirley’s Bar & Grill,West Des Moines,3 PM to 6 PM,"Draft, seltzer, well, and wine happy hour","$1 off draft beers, $6 seltzers, $4 wells, and $5 house wine.",Drink special
Tuesday,Cancun Grill & Cantina,Urbandale,2 PM to 5 PM,"Beer, tequila, and margarita happy hour","$3.50 draft beer, $4 house tequila shots, and $5 lime margaritas.",Drink special
Tuesday,Uptown Bar & Grill,Grimes,Tuesday only,$2.50 domestics and wells,Tuesday drink special with discounted domestic beers and well drinks.,Drink special
Tuesday,Sully’s Irish Pub,West Des Moines,All day Tuesday,$12 burger baskets plus drink specials,"Burger basket for $12, plus $3 tall boys and $4 bombs.",Food and drink special
Tuesday,Mad Meatball,Downtown / Des Moines,11 AM to 10 PM,Taco Tuesday specials,"$15 large taco pizzas, $10 taco salads, and 3 tacos for $12.",Food special
Tuesday,MALO,Downtown / Des Moines,All day Tuesday,Taco Tuesday,Tuesday taco specials on chicken tinga and ground beef tacos.,Food special
Tuesday,The Station on Ingersoll,Ingersoll / Des Moines,11 AM to 10 PM,$10 tenderloins,"Tenderloin and fries for $10, with happy hour drink add ons mentioned in source.",Food and drink special
Tuesday,Fresko,Downtown / Des Moines,5 PM to close,Taco Tuesday and margarita specials,"Any tacos for $10, $7 specialty margaritas or cocktails, $2 off tequila or mezcal, and nachos for $12.",Food and drink special
Tuesday,The Dam Pub,Beaverdale / Des Moines,11 AM to midnight,Half off nachos and $4 Tito’s,Half off nachos all day plus $4 Tito’s on Tuesdays.,Food and drink special
Tuesday,The Walnut,Western Gateway / Des Moines,All day Tuesday,$2.50 draft beer,All draft beer is $2.50 all day on Tuesday.,Drink special
Tuesday,Django,Downtown / Des Moines,4 PM to 9 PM,All night happy hour,"Tuesday happy hour with oysters, shrimp, appetizers, beer, and wine specials.",Food and drink special
Tuesday,Up Down,East Village / Des Moines,All day Tuesday,$1 off Iowa beer on tap,Tuesday special with $1 off all Iowa beers on tap.,Drink special
Tuesday,Angry Goldfish Pub & Eatery,South Side / Des Moines,11 AM to midnight,$10 burger and pint,Burger and a pint for $10 on Tuesday.,Food and drink special
Tuesday,Clyde’s Fine Diner,East Village / Des Moines,5 PM to 9 PM,"Burger, shot, and beer for $15","House burger, Evan Williams bourbon shot, and a PBR for $15.",Food and drink special
Tuesday,The Lift,Downtown / Des Moines,5 PM to 2 AM,$7 cocktails,All Tuesday cocktails are $7 with a long late night window.,Late night drink special
Tuesday,Kelly’s Little Nipper,East Side / Des Moines,10 AM to midnight,Tenderloin Tuesday plus $3 Blue Moons,"Tenderloin sandwich with side and drink for $11.50, plus $3 Blue Moons.",Food and drink special
Tuesday,"B&B Grocery, Meat and Deli",South Side / Des Moines,Tuesday special,Killer’s grinder combo,Killer’s grinder with fries and soda for $11.95.,Food special
Tuesday,Striking Sparrow,South Side / Des Moines,11 AM to 3 PM,$12 double smash combo,Double smash with fries and soda for $12.,Lunch special
Tuesday,Maggie’s Rumble Room,Des Moines,5 PM to 9 PM,Half price pizzas,All pizzas are half price on Tuesday night.,Food special
Tuesday,Grand Junction,West Des Moines,Tuesday steak night,Steak night for $13.99,"Steak, salad, and potato for $13.99.",Dinner special
Tuesday,Guesthouse Tavern and Oyster,West Des Moines,Tuesday special,Fried chicken dinner plus half price whiskey pours,"Fried chicken dinner special priced from $17 to $23, plus half priced whiskey pours.",Food and drink special
Tuesday,Mullet’s Norwalk,Norwalk,After 4 PM,Free kids meal with adult meal,One free kids meal with each adult meal on Tuesday evening.,Family dining special
Tuesday,Mickey’s Irish Pub,Waukee,All day Tuesday,$7 burger with side,Half pound burger with a side for $7.,Food special
Tuesday,Eastside Eddie’s,East Side / Des Moines,Tuesday special,$10 cheeseburger combo,"Cheeseburger with fries, tots, or salad and a drink for $10.",Food special
Tuesday,Beaver Tap,Des Moines,Tuesday specials,$7 breakfasts and $8 burgers,Tuesday breakfast special for $7 and burgers for $8.,Food special
Tuesday,Pelican Post,West Des Moines,Tuesday special,$10 smashburger combo,"Smashburger with cheese, fries, and a draft beer for $10.",Food and drink special
Tuesday,Istanbul Cafe and Bakery,Urbandale,Tuesday special,Half price baklava,Baklava is half price on Tuesdays.,Dessert special
Tuesday,Maxie’s Supper Club,West Des Moines,Tuesday special,Beef and noodles day,Tuesday beef and noodles special.,Food special
Tuesday,Gameday,Merle Hay / Des Moines,9 PM to close,Tuesday late beer bucket special,Extra Tuesday late happy hour with $10 domestic beer buckets.,Late night drink special
Wednesday,Up Down,East Village / Des Moines,All day Wednesday,$3 domestic tallboys,$3 domestic tallboys all day Wednesday.,Drink special
Wednesday,Guesthouse Tavern & Oyster,West Des Moines,All day Wednesday,Walleye Wednesday,Fried walleye for $19.99 with fries and a $4 Barn Town Gold draft.,Food and drink special
Wednesday,Chelsie’s Courtyard Diner,Downtown / Des Moines,All day Wednesday,Wing and beer special,Two 27 ounce beers and 18 smoked then fried wings for $25.,Food and drink special
Wednesday,Kelly’s Little Nipper,East Side / Des Moines,All day Wednesday,Burger Day,"Free double patty on any burger, or a $6 cheeseburger or $5 hamburger.",Food special
Wednesday,Mad Meatball,Downtown / Des Moines,11 AM to 11 PM,$20 all you can eat wings,All you can eat wings for $20 on Wednesday.,Food special
Wednesday,Ceviche Bar,East Village / Des Moines,11 AM to 9 PM,BOGO mojitos and mules,Buy one get one free mojitos and mules on Wednesday.,Drink special
Wednesday,Fresko,Downtown / Des Moines,11 AM to 9 PM,Wine Wednesday,Select wine specials including rosé for $10 and red wines for $12.,Drink special
Wednesday,Clyde’s Fine Diner,East Village / Des Moines,5 PM to 9 PM,Oyster night and half off wine,Oysters plus half off any bottle of wine under $100.,Food and drink special
Wednesday,The Lift,Downtown / Des Moines,5 PM to 7 PM,$6 martinis,$6 martinis during an early evening Wednesday window.,Drink special
Wednesday,The Dam Pub,Beaverdale / Des Moines,11 AM to 12 AM,Half price wine and wings,Chicken wings and half off bottles of wine all day Wednesday.,Food and drink special
Wednesday,The Station on Ingersoll,Ingersoll / Des Moines,11 AM to 10 PM,$12 chopped cheese,$12 chopped cheese sandwich special on Wednesday.,Food special
Wednesday,Sully’s Irish Pub,West Des Moines,All day Wednesday,$14 wings plus drink specials,"Wings for $14, plus $3 tall boys and $4 seltzers.",Food and drink special
Wednesday,The Stuffed Olive,Court District / Des Moines,4 PM to 12 AM,BOGO glasses of wine,Buy one glass of wine and get one free on Wednesday night.,Drink special
Wednesday,MALO,Downtown / Des Moines,All day Wednesday,Burrito Wednesday,Wednesday burrito special on carne molida and chicken tinga burritos.,Food special
Wednesday,Westown Tap Bar & Restaurant,West Des Moines,11 AM to 7 PM,"White Claws, drafts, and appetizer happy hour","$3 White Claws, $4 domestic drafts, $5 local drafts, and half off appetizers until 4 PM.",Food and drink special
Thursday,Bubba,Downtown / Des Moines,4 PM to close,$6 sips and $10 sliders,"$10 sliders plus $6 drinks including Old Fashioneds, Bubba juleps, bourbon, Bubba Hazy IPA, and select wine.",Food and drink special
Thursday,Ceviche Bar,East Village / Des Moines,All day Thursday,Lobster Roll Thursday,Thursday lobster roll special all day.,Food special
Thursday,Up Down,East Village / Des Moines,All day Thursday,10 cent tokens and $2 off signature cocktails,Thursday arcade special with 10 cent tokens and $2 off signature cocktails.,Drink special
Thursday,Kelly’s Little Nipper,East Side / Des Moines,4 PM to 11 PM,$9.50 Philly basket and $3.50 Long Islands,"Philly basket with side and drink for $9.50, plus $3.50 Long Islands.",Food and drink special
Thursday,Chelsie’s Courtyard Diner,Downtown / Des Moines,4 PM to 9 PM,$1 burger night,$1 burgers during a Thursday night window.,Food special
Thursday,Captain Roy’s,Saylorville / Des Moines,6 PM to 8 PM,Smashburger special,Thursday smashburger special during karaoke night.,Food special
Thursday,Clyde’s Fine Diner,East Village / Des Moines,5 PM to 9 PM,Fiesta Thursday,Three course rotating menu with agua fresca for $38.,Dinner special
Thursday,Fresko,Downtown / Des Moines,All day Thursday,$10 sushi rolls and highballs,All sushi rolls for $10 plus $10 Suntory Highballs on Thursday.,Food and drink special
Thursday,MALO,Downtown / Des Moines,All day Thursday,Fajita Thursday,Thursday special featuring grilled chicken and filet mignon fajitas.,Food special
Thursday,Sully’s Irish Pub,West Des Moines,All day plus after 5 PM,2 for 1 drinks and $14 steak night,"Two for one domestic draws, bottles, wells, and cans all day, plus a steak dinner after 5 PM.",Food and drink special
Thursday,The Stuffed Olive,Court District / Des Moines,4 PM to 12 AM,"Buy 2 martinis, get 1 free",Thursday martini special with a long night window.,Drink special
Thursday,"B&B Grocery, Meat and Deli",South Side / Des Moines,Thursday special,Killer’s double hot Polish combo,Killer’s double hot Polish with fries and a soda for $12.95.,Food special
Thursday,Graziano Brothers,South Side / Des Moines,Thursday special,Triple decker Reuben day,Thursday triple decker Reuben special.,Food special
Thursday,Striking Sparrow,South Side / Des Moines,Thursday special,$12 breaded pork tenderloin combo,Breaded pork tenderloin with fries and soda for $12.,Food special
Thursday,Walker’s Place,Des Moines,Thursday special,Taco pizza Thursday,Taco pizzas are the Thursday special.,Food special
Thursday,AJ’s Steakhouse,Prairie Meadows / Altoona,4 PM to 6 PM,Early bird dinner menu,"Early bird menu with burgers and frites for $15, pasta and chicken dinners for $20 to $22, seafood and steak dinners for $27 to $30.",Dinner special
Thursday,AJ’s Steakhouse,Prairie Meadows / Altoona,All night Thursday,$30 prime rib dinner,Prime rib dinner for $30 all night Thursday.,Dinner special
Thursday,Istanbul Grill Cafe & Bakery,Urbandale,Thursday special,Döner wrap and plate specials,Döner wrap with fries for $11.99 and $5 off the döner plate.,Food special
Thursday,Club 2000,South Side / Des Moines,Thursday special,Hot beef sandwich day,Hot beef sandwiches are the Thursday special.,Food special
Thursday,Maxie’s Supper Club,West Des Moines,Lunch and dinner,Fried chicken dinner for $20.95,"Half fried chicken with potato, spaghetti, and salad for $20.95.",Dinner special
Thursday,Mullet’s Norwalk,Norwalk,After 4 PM,Two pizzas for $20,Two two topping pizzas for $20 on Thursday evening.,Food special
Thursday,Buzzard Billy’s,Downtown / Des Moines,Thursday special,$2 off appetizers,$2 off appetizers on Thursday.,Food special
Thursday,Beaver Tap,Des Moines,Thursday specials,"Breakfast, tenderloin, and taco specials",$10 country fried breakfasts and $9 tenderloins or shrimp and fish tacos on Thursday.,Food special
Thursday,The Station on Ingersoll,Ingersoll / Des Moines,Thursday special,$12 ribeye sandwich,Thursday ribeye sandwich special for $12.,Food special
Thursday,Gilroy’s,West Des Moines,After 5 PM,Ribeye and sirloin night,Thursday night ribeye and sirloin specials after 5 PM.,Dinner special
Thursday,ShortE’s BBQ,Johnston,Thursday special,$1 smoked wings,Smoked wings for $1 each on Thursday.,Food special
Thursday,Jethro’s,Des Moines area,Thursday special,Boneless wings for $8,One pound of boneless wings for $8 on Thursday.,Food special
Thursday,Bevy’s Tavern,West Des Moines,Thursday special,Beef stew and cornbread for $13,Beef stew and cornbread special for $13.,Food special
Thursday,Destination Grille,Grimes,Thursday special,Comfort Thursday chicken fried De Burgo,Chicken fried De Burgo for $16 on Thursday.,Dinner special
Thursday,The Dam Pub,Beaverdale / Des Moines,Thursday special,Throwback Thursday goulash,Goulash with garlic toast on Thursday.,Food special
Thursday,The Continental,East Village / Des Moines,Thursday special,$7 loaded fries,Loaded fries for $7 on Thursday.,Food special
Thursday,G Mig’s,Valley Junction / West Des Moines,Thursday special,Taco night,Thursday taco night special.,Food special
Friday,Paula’s,Valley Junction / West Des Moines,Friday special,Meat loaf dinner for $14,Friday meat loaf dinner special for $14.,Dinner special
Friday,Hessen Haus,Court District / Des Moines,"Friday special, seasonal",All you can eat fish and shrimp,All you can eat fish and shrimp for $18 on Fridays during Lent.,Dinner special
Friday,Striking Sparrow,South Side / Des Moines,11 AM to 3 PM,$12 Italian beef combo,Italian beef with fries and soda for $12 during Friday lunch.,Lunch special
Friday,Wilson Orchard & Farm,Cumming,Friday special,Ramen day,Friday ramen special.,Food special
Friday,ShortE’s BBQ,Johnston,Family dining special,Kids eat free,Kids eat free on Friday and Saturday.,Family dining special
Friday,Guesthouse Tavern and Oyster,West Des Moines,Friday special,Surf and turf special,Friday surf and turf special.,Dinner special
Friday,Beaver Tap,Des Moines,Friday specials,"Philly cheesesteak or hot honey chicken, plus breakfast special","$9 Philly cheesesteaks or hot honey chicken, plus $8 biscuit and gravy breakfasts on Friday.",Food special
Friday,Smoking Goat Pub,Des Moines,Friday dinner,Walleye or steak dinner specials,Friday dinner specials include walleye or steak.,Dinner special
Friday,Jethro’s,Des Moines area,Friday special,Open faced turkey sandwich for $12,Open faced turkey sandwich with mashed potatoes and gravy for $12.,Dinner special
Friday,G Mig’s,Valley Junction / West Des Moines,Friday dinner,Prime rib or walleye dinner,"Prime rib dinner with baked potato and asparagus for $32, or walleye piccata for $28.50.",Dinner special
Friday,Heavenly Asian,Valley Junction / West Des Moines,All day Friday,Orange chicken combo for $14,"Orange chicken with soup, crab Rangoon, egg roll, and rice for $14.",Food special
Friday,Destination Grille,Grimes,Weekend dinner special,Prime rib dinner for $40,Prime rib dinner special for $40 on Friday and Saturday.,Dinner special
Friday,Caffrey’s Sports Pub,Waukee,3 PM to 6 PM,$3 domestics and wells,Straightforward weekday happy hour with $3 domestic beers and well drinks.,Drink special
Friday,Uptown Bar & Grill,Grimes,Friday only,$1 off IPAs,Friday drink special with $1 off IPAs.,Drink special
Friday,The Tavern Grill,West Des Moines,3 PM to 6 PM and 9 PM to close,Friday happy hour plus late night window,Friday includes both an after work happy hour and a later night window.,Food and drink special
Friday,The Beerhouse,Urbandale,3 PM to 7 PM,Friday happy hour,Longer Friday happy hour window that runs into early evening.,Drink special
Saturday,The Stuffed Olive,Court District / Des Moines,9 PM to close,"Buy 2 martinis, get 1 free",Late night Saturday martini special.,Late night drink special
Saturday,Destination Grille,Grimes,3 PM to 5 PM,"Domestic cans, snacks, and Tito’s specials","$3 domestic cans, plus $5 cheese bread, chicken strips, house made chips, and Tito’s wells or mules.",Food and drink special
Saturday,Eatery A,Ingersoll / Des Moines,2 PM to 6 PM,"Half price pizza, beer, and wine","Daily happy hour with half price pizza, beer, and wine.",Food and drink special
Saturday,Cosi Cucina,Clive,11 AM to 4 PM,Saturday happy hour,Long daytime Saturday window that works like a lunch to afternoon special.,Food and drink special
Saturday,The Urban Grill,Urbandale,3 PM to 6 PM,Saturday happy hour,Standard Saturday afternoon happy hour.,Food and drink special
Saturday,30Hop,Prairie Trail / Ankeny,10 AM to 11:30 AM,$1.99 brunch mimosas,Brunch happy hour with $1.99 mimosas on weekends.,Brunch drink special
Saturday,Tito’s Lounge,Urbandale,Brunch until 2 PM,Bottomless brunch drinks,Saturday brunch special with bottomless drinks until 2 PM for $14.99.,Brunch drink special
Saturday,Amruth,Clive,12 PM to 4 PM,Weekend buffet,Saturday and Sunday buffet with around 20 dishes.,Buffet
Saturday,Guesthouse Tavern and Oyster,West Des Moines,Saturday dinner,Prime rib dinner for $33,Saturday prime rib dinner special for $33.,Dinner special
Saturday,Gilroy’s,West Des Moines,Weekend brunch buffet,Brunch buffet for $24.99,"Saturday and Sunday brunch buffet for $24.99 for adults, with kids 6 and under free.",Brunch buffet
Saturday,G Mig’s,Valley Junction / West Des Moines,Saturday special,Beef and noodles for $18.50,Saturday beef and noodles special for $18.50.,Food special
Saturday,Court Avenue Brewing Company,Court Avenue / Des Moines,Weekend breakfast buffet,Breakfast buffet for $23.99,Saturday and Sunday breakfast buffet for $23.99.,Breakfast buffet
Sunday,Destination Grille,Grimes,All day Sunday,All day Sunday happy hour,Sunday happy hour runs all day.,Drink special
Sunday,Eatery A,Ingersoll / Des Moines,2 PM to 6 PM,"Half price pizza, wine, and draft beer","Daily happy hour with half priced pizza, wine, and draft beer.",Food and drink special
Sunday,Cosi Cucina,Clive,11 AM to 4 PM plus Sunday night,Sunday happy hour,Long Sunday daytime window with an added Sunday night component.,Food and drink special
Sunday,Uptown Bar & Grill,Grimes,All day Sunday,$10 domestic pitchers,Sunday special includes $10 domestic pitchers.,Drink special
Sunday,Blue Sushi Sake Grill,Court District / Des Moines,All day Sunday,All day sushi happy hour,"All day Sunday happy hour with sushi, drinks, and share plates.",Food and drink special
Sunday,30Hop,Prairie Trail / Ankeny,3 PM to 6 PM,"30 percent off apps, beer, wine, and cocktails","Broad happy hour with 30 percent off appetizers, beer, wine, and cocktails.",Food and drink special
Sunday,30Hop,Prairie Trail / Ankeny,10 AM to 11:30 AM,$1.99 brunch mimosas,Brunch happy hour with $1.99 mimosas on weekends.,Brunch drink special
Sunday,Bar Nico,East Village / Des Moines,3 PM to 5 PM,"Snacks, tapas, tacos, beer, wine, and margarita specials","$5 snacks, $6 tapas, $7 tacos, half priced draft beer, $6 wine, $5 house margaritas, and $6 seasonal margaritas.",Food and drink special
Sunday,Louie’s Wine Dive,Des Moines,3 PM to 6 PM,"Wine, cocktails, and food happy hour","25 percent off bottles, $7 cocktails, select wines, and discounted food.",Food and drink special
Sunday,The Bartender’s Handshake,Ingersoll / Des Moines,2 PM to 6 PM,"Aperitivo cocktails, wine, poppers, and PBR combo","$5 Aperol Spritz, $5 Garibaldis, $5 house wines, $5 pepper poppers, and $5 PBR plus amaro.",Food and drink special
Sunday,Revival House,Court District / Des Moines,4 PM to 6:30 PM,Cocktails and rangoons happy hour,$2 off cocktails and discounted mango crab rangoons.,Food and drink special
Sunday,Prime & Providence,West Des Moines,3 PM to 6 PM,"Wines, cocktails, oysters, and small plates","$9 select wines and cocktails, $1 off oysters, and upscale small plates.",Food and drink special
Sunday,Alba,East Village / Des Moines,4 PM to 6 PM,"Beers, wine, cocktails, and bar bites","BOGO beers, half price wine by the glass, $6 cocktails, and $6 to $8 bar bites.",Food and drink special
Sunday,Harbinger,Ingersoll / Des Moines,4 PM to 6 PM,"Small plates, beer, wine, and cocktails","$8 small plates and select beer, wine, and cocktails from $5 to $8.",Food and drink special
Sunday,Tito’s Lounge,Urbandale,All day Sunday,$3 draft Sunday special,Sunday draft special with $3 drafts all day.,Drink special
Sunday,Amruth,Clive,12 PM to 4 PM,Weekend buffet,Saturday and Sunday buffet with around 20 dishes.,Buffet
Sunday,Gilroy’s,West Des Moines,Weekend brunch buffet,Brunch buffet for $24.99,"Saturday and Sunday brunch buffet for $24.99 for adults, with kids 6 and under free.",Brunch buffet
Sunday,Court Avenue Brewing Company,Court Avenue / Des Moines,Weekend breakfast buffet,Breakfast buffet for $23.99,Saturday and Sunday breakfast buffet for $23.99.,Breakfast buffet
Sunday,Smoking Goat Pub,Des Moines,Sunday special,10 wings for $10,Sunday wings special with 10 wings for $10.,Food special
Sunday,Jethro’s,Des Moines area,Sunday special,Burger basket with fries for $9.95,Sunday burger basket with fries for $9.95.,Food special
